date,station_name,station_depth_m,sample_depth_m,sample_depth_category,time,lat,lon,wind_speed,wave_height,sky,secchi_depth,ctd_temp,ctd_specific_conductivity,ctd_beam_attenuation,ctd_transmission,ctd_dissolved_oxygen,ctd_par,turbidity,particulate_microcystin,dissolved_microcystin,extracted_phycocyanin,extracted_chla,total_p,total_dissolved_p,soluble_reactive_p,ammonia,nitrate_nitrite,particulate_organic_c,particulate_organic_n,cdom,tss,vss
7/13/2020,WE9,3.09,0.75,Surface,9:42,41.7177,-83.4224,,,mostly sunny,0.5,27,432.4,10.7,6.9,5.48,888.7,17.3,2.14,0.62,48.74,52.65,129.06,53,33.52,296.56,0.545,2.45,0.42,1.87,18.72,5.24
7/13/2020,WE12,6.94,0.75,Surface,8:55,41.704,-83.2538,,,partly cloudy,1.5,25.9,274.9,2.4,55.5,7.14,1529.8,3.72,<0.1,0.14,3.11,7.87,26.85,12.12,7.87,51.11,0.508,0.55,0.07,0.67,4.68,1.32
7/13/2020,WE12,,6.2,Bottom,,,,,,,,25.9,275.7,2.6,52.6,7.36,13,,<0.1,0.14,2.11,7.23,,,,,,,,,,
7/20/2020,WE2,5.89,0.75,Surface,8:39,41.7637,-83.3311,9.72,0.98,sunny,2,26.2,286,,,6.75,,3.98,0.41,0.21,9.19,11.41,23.94,6.88,4.33,51.29,0.418,0.7,0.14,0.76,5.28,1.24
7/20/2020,WE2,,5.1,Bottom,,,,,,,,26.2,286.2,,,7.27,,,0.36,0.19,7.05,9.54,,,,,,,,,,
7/20/2020,WE6,3.14,0.75,Surface,9:36,41.7054,-83.3862,7.78,0.98,sunny,1,26.6,376.7,,,6.93,,9.2,7.99,0.53,114.76,47.71,72.81,20.71,8.24,19.5,0.208,3.07,0.56,1.81,10.07,6
7/20/2020,WE8,5.29,0.75,Surface,7:58,41.8334,-83.3613,13.02,1.31,sunny,2.8,26.4,292.6,,,6.39,,2.38,0.74,0.25,14.77,10.54,26.08,9.76,6.54,89.26,0.42,0.73,0.15,0.91,3.56,1.8
7/20/2020,WE8,,4.4,Bottom,,,,,,,,26.5,293.1,,,7.03,,,0.54,0.21,10.4,9,,,,,,,,,,
7/20/2020,WE9,3,0.75,Surface,9:58,41.7177,-83.4231,5.83,0.98,sunny,0.5,26.8,398.5,,,6.8,,19.9,2.43,0.32,64.21,44.72,104.88,44.83,29.14,73.18,0.345,2.69,0.52,1.92,17,6
7/20/2020,WE12,6.9,0.75,Surface,9:05,41.7045,-83.2566,9.72,1.31,sunny,1.5,26.3,277,,,7.29,,3.36,0.22,0.11,5.85,12.61,18.98,5.6,2.83,22.18,0.448,0.78,0.15,0.65,6.16,2.08
7/20/2020,WE12,,6.1,Bottom,,,,,,,,26.3,276.8,,,7.58,,,0.18,0.18,6.54,12.93,,,,,,,,,,
7/28/2020,WE2,5.62,0.75,Surface,11:45,41.7622,-83.3312,3.89,0.66,sunny,1.3,27,306.2,,,6.28,,8.46,2.06,0.16,50.48,28.47,37.76,9.65,5.74,50.34,0.226,2.13,0.35,1.11,7.93,4.5
7/28/2020,WE2,,4.7,Bottom,,,,,,,,26.4,283.3,,,6.14,,,0.35,0.1,2.53,13.65,,,,,,,,,,
7/28/2020,WE4,8.84,0.75,Surface,8:45,41.8274,-83.1956,12.05,1.31,sunny,2,26.2,251.2,,,6.75,,3.73,1.02,<0.1,17.88,16.77,22.83,6.21,5.29,22.69,0.19,1.3,0.2,0.49,4.6,2.83
7/28/2020,WE6,3.19,0.75,Surface,11:00,41.7055,-83.3865,,,sunny,1,26.6,324.4,,,6.39,,7.39,3.21,0.24,36.76,35.36,53.68,14.08,4.7,3.16,0.01,3.31,0.39,1.3,12.24,8.68
7/28/2020,WE8,5.53,0.75,Surface,8:07,41.8339,-83.3597,13.02,1.31,sunny,2.5,26.5,287.1,,,5.89,,4.21,0.97,0.19,17.63,14.3,24.13,6.23,3.65,3.8,0.085,1.17,0.18,0.84,4.27,2.97
7/28/2020,WE8,,5.5,Bottom,,,,,,,,26.5,287.2,,,6.08,,,1.97,,15.4,13.18,,,,,,,,,,
7/28/2020,WE9,2.82,0.75,Surface,11:20,41.7174,-83.425,5.83,0.66,sunny,0.5,26.7,364.3,,,6.02,,18,2.83,0.26,75.32,58.5,109.66,26.54,16.51,18.13,0.161,3.53,0.56,1.54,21.27,8
7/28/2020,WE12,6.95,0.75,Surface,10:23,41.7036,-83.2553,5.83,0.98,sunny,1.5,26.4,275.3,,,6.01,,2.87,0.11,<0.1,6.16,10.81,22.22,5.55,3.73,6.17,0.419,0.73,0.11,0.57,3.9,1.85
7/28/2020,WE12,,6.2,Bottom,,,,,,,,26.3,275.8,,,6.39,,,0.11,0.1,3.87,10.21,,,,,,,,,,
7/28/2020,WE13,9.4,0.75,Surface,9:20,41.7444,-83.1384,12.05,1.31,sunny,2,26.3,241.3,,,6.18,,1.97,0.68,<0.1,10.42,12.82,18.48,4.92,3.42,5.56,0.202,1.03,0.17,0.4,4.06,2.42
7/28/2020,WE13,,8.6,Bottom,,,,,,,,26.3,241.8,,,6.72,,,0.45,<0.1,4.9,12.42,,,,,,,,,,
7/28/2020,WE16,6.34,0.75,Surface,9:51,41.6585,-83.1463,7.78,1.31,sunny,2.5,26.2,270,,,5.79,,2.04,0.14,<0.1,3.44,4.64,17.19,6.24,4.21,35.61,0.469,0.39,0.08,0.48,2.2,1.16
8/4/2020,WE2,5.78,0.75,Surface,11:19,41.7635,-83.3309,7.78,1.97,partly sunny,1,24.8,283.8,,,7.89,,6.95,1.96,0.14,50.02,35.75,39.74,6.97,4.07,5.31,0.058,2.31,0.37,0.55,15.27,7.9
8/4/2020,WE2,,5.1,Bottom,,,,,,,,24.7,284.3,,,8.19,,,1.41,0.19,24.76,33.44,,,,,,,,,,
8/4/2020,WE4,8.85,0.75,Surface,8:45,41.8279,-83.1943,14.97,2.3,cloudy,2.5,24.2,215,,,7.34,,1.29,<0.1,<0.1,0.45,3.56,12.02,3.23,3.41,12.09,0.251,0.25,0.06,0.12,2.18,0.51
8/4/2020,WE6,3.25,0.75,Surface,10:40,41.7059,-83.3865,7.78,1.97,cloudy,0.5,24,345,,,7.66,,20.2,4.79,0.27,11.06,64.22,103.95,28.61,20.07,4.22,0.004,3.74,0.61,1.45,22.52,9.28
8/4/2020,WE8,5.38,0.75,Surface,8:07,41.8354,-83.3577,15.94,2.3,cloudy,1.3,24.6,257.1,,,7.46,,6.68,2.19,0.26,17.65,32.91,33.87,4.6,4.29,13.78,0.095,1.83,0.27,0.61,7.04,4.06
8/4/2020,WE8,,4.7,Bottom,,,,,,,,24.6,256.7,,,7.84,,,2.13,0.26,28.57,32.91,,,,,,,,,,
8/4/2020,WE9,3.02,0.75,Surface,10:56,41.7181,-83.4223,7.78,1.97,cloudy,0.5,24.2,370.1,,,7.7,,28.8,3.99,0.36,65.93,66.79,125.51,33.76,24.44,6.39,0.075,4.42,0.63,1.59,27.87,9.03
8/4/2020,WE12,7.06,0.75,Surface,10:10,41.7052,-83.2532,7.78,1.97,cloudy,0.5,24.6,311.1,,,7.13,,11.5,2.3,0.21,23.11,37.49,60.65,10.75,7.56,7.02,0.027,2.43,0.42,1.1,12.6,5.77
8/4/2020,WE12,,6.3,Bottom,,,,,,,,24.6,311.4,,,7.73,,,1.14,0.41,59.74,42.07,,,,,,,,,,
8/4/2020,WE13,9.35,0.75,Surface,9:13,41.7458,-83.1386,14,2.3,cloudy,1.5,25,266.3,,,7.33,,4.99,1.64,0.25,16.07,24.77,28.92,5.79,5.44,6.78,0.151,1.38,0.21,0.65,6,3.1
8/4/2020,WE13,,8.7,Bottom,,,,,,,,25,266.6,,,7.83,,,1.68,0.2,17.8,24.7,,,,,,,,,,
8/4/2020,WE16,6.46,0.75,Surface,9:40,41.661,-83.1447,11.66,2.3,cloudy,1.5,24.7,272.4,,,7.28,,5.15,0.39,0.16,2.41,2.8,29.51,6.72,6.75,21.49,0.341,0.73,0.12,0.56,7.47,1.56
8/10/2020,WE2,5.27,0.75,Surface,11:40,41.7614,-83.3329,9.72,0.33,sunny,1,25.2,288.9,,,7.81,,6.15,0.45,0.23,6.72,20.48,32.71,8.49,3.71,2.95,<0.002,1.67,0.22,0.87,8.24,3.62
8/10/2020,WE2,,4.8,Bottom,,,,,,,,24.8,283.8,,,8.04,,,0.6,0.21,3.88,24.64,,,,,,,,,,
8/10/2020,WE4,8.8,0.75,Surface,8:44,41.8257,-83.1983,9.91,0.66,sunny,3,24.8,207.8,,,7.27,,0.915,0.1,<0.1,0.42,5.13,12.12,3.27,4.46,9.05,0.166,0.42,0.08,0.17,1.62,0.85
8/10/2020,WE6,3.07,0.75,Surface,10:52,41.7046,-83.3852,5.83,0.33,sunny,0.8,25.6,359.4,,,9.54,,10.2,1.14,0.3,19.22,39.39,65.34,14.66,4.64,7.03,0.003,3.28,0.43,1.42,12.08,6.8
8/10/2020,WE8,5.26,0.75,Surface,8:03,41.8335,-83.3609,11.08,0.66,sunny,1,25.1,263.8,,,7.69,,5.2,0.55,0.19,3.31,15.67,30.77,6.04,4.9,1.86,<0.002,1.66,0.25,0.76,7.38,3.62
